basicData/name;basicData/title;geoData/address;geoData/zipcode;geoData/country;geoData/latitude;geoData/longitude;geoData/subAdministrativeArea
Casa de las Alhajas;Casa de las Alhajas;de San Martín, 1;28013;Spain;40.418217439765;-3.707043528557;Madrid
Centro Cultural de los Ejércitos;Centro Cultural de los Ejércitos;Gran Vía , 13;28013;Spain;40.419687701198;-3.699812293053;Madrid
Cines Callao / Callao City Lights;Cines Callao / Callao City Lights;de Callao, 3 y 4;28013;Spain;40.419867397614;-3.705804347992;Madrid
Palacio de Neptuno;Palacio de Neptuno;de Cervantes, 42;28014;Spain;40.414581100000;-3.695172300000;Madrid
Imprenta Municipal-Artes del Libro;Imprenta Municipal-Artes del Libro;de Concepción Jerónima, 15;28012;Spain;40.413897200000;-3.705472200000;Madrid
Sala Mayko;Sala Mayko;del General Palanca, 7;28045;Spain;40.399580200000;-3.698976300000;Madrid
Centro Cultural La Vaguada;Centro Cultural La Vaguada;Monforte de Lemos, 38;28029;Spain;40.479500072415;-3.709141016007;Madrid
Auditorio y Sala de Exposiciones Paco de Lucía;Auditorio y Sala de Exposiciones Paco de Lucía;de Las Aguilas, 2;28044;Spain;40.385132149605;-3.764367699623;Madrid
Centro Cultural Casa del Reloj;Centro Cultural Casa del Reloj;de la Chopera, 6;28045;Spain;40.394427412692;-3.700536489487;Madrid
Centro Cultural Paco Rabal - Palomeras Bajas;Centro Cultural Paco Rabal - Palomeras Bajas;Felipe de Diego, 13;28018;Spain;40.379439955248;-3.661204576492;Madrid
Colegio Cardenal Spínola  ;Colegio Cardenal Spínola  ;Cardenal Marcelo Spínola, 34,;28016;Spain;40.466845900000;-3.672398500000;Madrid
Ciudad del Rock de Arganda del Rey;Ciudad del Rock de Arganda del Rey;Autovía A3, km 33;28500;Spain;40.259649513099;-3.405804634094;Arganda del Rey
Auditorio de la Universidad Carlos III;Auditorio de la Universidad Carlos III;de la Universidad, 30;28911;Spain;40.332478380637;-3.764705657959;Leganés
Quinta del Sordo;Quinta del Sordo;del Rosario, 17;28005;Spain;40.409399281073;-3.714449107647;Madrid
Off Latina;Off Latina;de los Mancebos, 4;28005;Spain;40.412045800000;-3.711972800000;Madrid
Espacio Ronda;Espacio Ronda;Ronda de Segovia, 50;28005;Spain;40.406952537591;-3.713250160217;Madrid
Nave 73;Nave 73;de Palos de la Frontera, 5;28012;Spain;40.403158600000;-3.698736500000;Madrid
Jardín Botánico de la Universidad Complutense;Jardín Botánico de la Universidad Complutense;Complutense, s/n;28040;Spain;40.447948250846;-3.727530241013;Madrid
Escenario Puerta del ángel;Escenario Puerta del ángel;Herradura, 3;28011;Spain;40.416926850471;-3.727669715881;Madrid
Teatro Auditorio (Casa de Campo);Teatro Auditorio (Casa de Campo);de Portugal, s/n;28011;Spain;40.413806462683;-3.741080760956;Madrid
Pabellón de Convenciones (Casa de Campo);Pabellón de Convenciones (Casa de Campo);de Portugal, s/n;28011;Spain;40.411690724771;-3.739943504334;Madrid
Madrid & You;Madrid & You;del Conde de Lemos, 8;28013;Spain;40.416717200000;-3.710521300000;Madrid
Plaza de Colón;Plaza de Colón;de Colón;28004;Spain;40.425268879397;-3.690661510209;Madrid
Parque Juan Carlos I;Parque Juan Carlos I;S.A.R Don Juan de Borbón y Battemberg, 5;28042;Spain;40.461295300000;-3.609640100000;Madrid
